title,average_score,num_scores
Our Happy Time,8.509398496240602,266
School 2013,8.50168634064081,1186
Beautiful Mind,8.501272264631043,393
Blackboard - Jidai to Tatakatta Kyoshi tachi,8.5,33
Wood Job! The Easy Life in Kamusari,8.5,61
The Great Passage,8.5,50
Ip Man 2: Legend of Grandmaster,8.497835497835498,231
Page Turner,8.49390243902439,492
Nobunaga Concerto,8.487903225806452,248
Innocent Man,8.484,1375
Orange,8.47872340425532,329
Old Boy,8.476744186046512,516
Rooftop Prince,8.47524467472654,1737
Go Away Mr.Tumor!,8.473684210526315,38
The Flowers of War,8.472222222222221,36
"The Foreign Duck, the Native Duck and God in a Coin Locker",8.470588235294118,34
Doctor X 2,8.46938775510204,98
My Palpitating Life,8.469325153374234,163
Infernal Affairs,8.46875,144
Mother,8.46774193548387,341
Take Off,8.467391304347826,46
Nodame Cantabile,8.465681098204858,947
Roosevelt Game,8.462962962962964,27
Good Doctor,8.462857142857143,875
The Beauty Inside,8.462264150943396,477
Karei naru Ichizoku,8.461538461538462,26
The Throne,8.460227272727273,88
Gu Family Book,8.459907834101383,1085
Present Perfect,8.458823529411765,85
"Marriage, Not Dating",8.45786758383491,1163
Giant,8.457446808510639,94
Okitegami Kyoko no Biboroku,8.45608108108108,148
Shut Up Family,8.454545454545455,44
Teacher's Diary,8.45138888888889,144
D-Day,8.45138888888889,288
Coffee Prince,8.451097328244275,2096
Bloody Monday 2,8.45045045045045,444
Pride,8.449367088607595,395
Dr. DMAT,8.448275862068966,29
Friends Never Die,8.445945945945946,37
Time Between Dog and Wolf,8.443641618497109,346
Joint Security Area,8.443181818181818,88
Brain Man,8.443014705882353,272
Oshin,8.442307692307692,52
MOZU Season 1 - Mozu no Sakebu Yoru,8.4375,64
Marumo no Okite,8.435185185185185,54
Enter the Dragon,8.429824561403509,57
Veteran,8.429203539823009,113
Sungkyunkwan Scandal,8.428468727534147,1391
Legal High,8.427570093457945,214
Blind,8.425531914893616,564
Marriage Contract,8.423913043478262,414
Hearty Paws,8.423913043478262,92
Bokura no Yuuki,8.420454545454545,44
LIFE,8.42,350
Masquerade,8.419776119402986,268
Tazza: The Hidden Card,8.419444444444444,180
Mahoro Ekimae Bangaichi,8.41764705882353,85
Nodame Cantabile Special,8.417067307692308,416
Jumong,8.416666666666666,192
Under the Hawthorn Tree,8.413461538461538,104
Tunnel,8.413461538461538,52
Go Ho's Starry Night,8.411764705882353,221
GTO,8.407462686567165,335
"Good Life ~Arigatou, Papa. Sayonara~",8.402439024390244,41
Can You Hear My Heart,8.402086677367576,623
My Girlfriend is a Gumiho,8.399881516587678,1688
Secret Reunion,8.39950980392157,204
Bleak Night,8.397849462365592,93
Princess Pearl,8.397727272727273,88
Boss & Me,8.395539906103286,426
The Journey of Flower,8.394117647058824,85
Falling for Innocence,8.393051771117166,734
Doctor X  3,8.391666666666667,60
99.9: Criminal Lawyer,8.390243902439025,82
Ghost,8.38888888888889,648
Pied Piper,8.388349514563107,103
Wonderful Nightmare,8.385474860335195,179
In the Mood for Love,8.385321100917432,109
The Front Line,8.385245901639344,61
ST Aka to Shiro no Sousa File,8.384615384615385,78
Leh Nangfah,8.381578947368421,76
Seondal: The Man Who Sells the River,8.381443298969073,97
Yakou Kanransha,8.380952380952381,84
The Flu,8.38076923076923,260
Awl,8.376923076923077,65
The Way We Were,8.375,36
You're All Surrounded,8.374441964285714,896
Crazy Little Thing Called Love,8.373287671232877,438
Ode to Joy,8.372340425531915,47
The Handmaiden,8.372222222222222,90
"Secretly, Greatly",8.369884575026234,953
Ojakgyo Brothers,8.36890243902439,328
Orange Days,8.368243243243244,296
The Terror Live,8.367816091954023,174
Kaitou Tantei Yamaneko,8.367549668874172,151
Journey to the West,8.3671875,64
Muhan Company,8.366666666666667,45
Legal High SP,8.366336633663366,101
Nodame Cantabile: The Final Score - Part II,8.36413043478261,460
Suzuki Sensei,8.363636363636363,44
Hormones 2,8.363636363636363,77
Solomon's Perjury 1: Suspicion,8.362068965517242,29
Karamazov no Kyodai,8.360169491525424,118
The Way Home,8.358823529411765,85
Dear Sister,8.358490566037736,212
Hanazakari no Kimitachi e,8.358342989571263,1726
"Rich Man, Poor Woman",8.357944732297064,1158
Iryu Team Medical Dragon 3,8.355263157894736,38
You're Beautiful,8.35414235705951,2571
MR. BRAIN,8.352564102564102,468
Kaseifu no Mita,8.35234899328859,149
Never Forever,8.35,30
Chihayafuru: Kami no Ku,8.35,120
Love Sick: The Series Season 2,8.347058823529412,85
Tamiou,8.346938775510203,49
They Kiss Again,8.346938775510203,637
Warrior Baek Dong Soo,8.346666666666666,300
Love Shuffle,8.345679012345679,648
Confession of Murder,8.345528455284553,369
You Who Came from the Stars: Epilogue,8.344444444444445,90
Twenty Again,8.342557251908397,524
Sound of the Desert,8.342105263157896,95
The Twilight Samurai,8.340909090909092,44
Marathon,8.340277777777779,72
Oh My Venus,8.338338338338339,999
